,sym1,sym2
959,452,63
960,452,291
961,452,289
962,452,842
963,452,555
964,452,950
965,452,525
966,452,246
967,452,156
968,452,928
969,452,532
970,452,741
971,452,930
972,388,760
973,388,428
974,388,296
975,388,226
976,388,234
977,388,592
978,388,273
979,388,300
980,388,55
981,388,288
982,388,744
983,388,188
984,388,95
985,388,46
986,388,664
987,388,224
988,388,63
989,388,254
990,388,950
991,388,532
992,388,741
993,332,364
994,332,296
995,332,729
996,332,226
997,332,435
998,332,87
999,332,574
1000,332,852
1001,332,594
1002,332,55
1003,332,68
1004,332,744
1005,332,655
1006,332,95
1007,332,1012
1008,332,46
1009,332,224
1010,332,63
1011,332,1014
1012,332,366
1013,332,1015
1014,332,118
1015,332,950
1016,332,897
1017,332,532
1018,332,741
1019,332,321
1020,685,687
1021,685,532
1022,197,296
1023,197,348
1024,197,55
1025,197,744
1026,197,653
1027,197,95
1028,197,46
1029,197,224
1030,197,63
1031,197,511
1032,197,532
1033,197,741
1034,350,351
1035,350,538
1036,249,628
1037,249,739
1038,249,50
1039,249,251
1040,795,615
1041,795,182
1042,795,277
1043,795,714
1044,795,82
1045,795,583
1046,795,371
1047,795,505
1048,795,493
1049,795,296
1050,795,909
1051,795,694
1052,795,58
1053,795,1000
1054,795,435
1055,795,832
1056,795,863
1057,795,380
1058,795,848
1059,795,51
1060,795,1032
1061,795,87
1062,795,852
1063,795,971
1064,795,106
1065,795,594
1066,795,292
1067,795,55
1068,795,381
1069,795,893
1070,795,744
1071,795,216
1072,795,655
1073,795,696
1074,795,340
1075,795,833
1076,795,149
1077,795,698
1078,795,95
1079,795,1012
1080,795,346
1081,795,240
1082,795,166
1083,795,765
1084,795,695
1085,795,46
1086,795,667
1087,795,224
1088,795,1023
1089,795,799
1090,795,88
1091,795,494
1092,795,633
1093,795,63
1094,795,902
1095,795,734
1096,795,603
1097,795,291
1098,795,366
1099,795,660
1100,795,461
1101,795,289
1102,795,1061
1103,795,720
1104,795,118
1105,795,950
1106,795,699
1107,795,1041
1108,795,905
1109,795,668
1110,795,895
1111,795,645
1112,795,672
1113,795,33
1114,795,1026
1115,795,845
1116,795,532
1117,795,741
1118,795,492
1119,795,154
1120,795,876
1121,795,997
1122,634,505
1123,634,296
1124,634,226
1125,634,608
1126,634,215
1127,634,643
1128,634,1009
1129,634,514
1130,634,348
1131,634,574
1132,634,55
1133,634,893
1134,634,481
1135,634,517
1136,634,744
1137,634,133
1138,634,653
1139,634,217
1140,634,95
1141,634,456
1142,634,46
1143,634,224
1144,634,1023
1145,634,1024
1146,634,258
1147,634,63
1148,634,511
1149,634,291
1150,634,950
1151,634,905
1152,634,897
1153,634,504
1154,634,1019
1155,634,532
1156,634,741
1157,634,641
1158,634,154
1159,634,510
1160,634,321
1161,816,736
1162,816,296
1163,816,233
1164,816,55
1165,816,399
1166,816,744
1167,816,95
1168,816,46
1169,816,224
1170,816,63
1171,816,42
1172,816,532
1173,816,741
1174,131,579
1175,131,82
1176,131,296
1177,131,238
1178,131,794
1179,131,87
1180,131,55
1181,131,744
1182,131,95
1183,131,454
1184,131,243
1185,131,46
1186,131,224
1187,131,88
1188,131,63
1189,131,686
1190,131,461
1191,131,246
1192,131,532
1193,131,741
1194,131,321
1195,486,607
1196,486,435
1197,486,852
1198,486,594
1199,486,838
1200,647,296
1201,647,863
1202,647,650
1203,647,106
1204,647,55
1205,647,744
1206,647,95
1207,647,806
1208,647,46
1209,647,224
1210,647,63
1211,647,649
1212,647,660
1213,647,819
1214,647,532
1215,647,741
1216,611,296
1217,611,55
1218,611,64
1219,611,744
1220,611,95
1221,611,46
1222,611,224
1223,611,63
1224,611,85
1225,611,532
1226,611,741
1227,141,428
1228,141,296
1229,141,729
1230,141,591
1231,141,612
1232,141,592
1233,141,589
1234,141,986
1235,141,774
1236,141,55
1237,141,893
1238,141,744
1239,141,655
1240,141,95
1241,141,588
1242,141,46
1243,141,204
1244,141,224
1245,141,63
1246,141,973
1247,141,368
1248,141,254
1249,141,950
1250,141,905
1251,141,532
1252,141,741
1253,141,946
1254,1016,296
1255,1016,55
1256,1016,68
1257,1016,744
1258,1016,95
1259,1016,46
1260,1016,224
1261,1016,63
1262,1016,1010
1263,1016,741
1264,1016,1011
1265,272,0
1266,272,443
1267,272,1065
1268,272,568
1269,272,307
1270,272,807
1271,272,479
1272,272,473
1273,272,793
1274,272,3
1275,272,792
1276,272,960
1277,272,658
1278,272,136
1279,272,162
1280,91,789
1281,91,114
1282,91,505
1283,91,797
1284,91,296
1285,91,644
1286,91,87
1287,91,55
