,target,Herb
415,9281.0,2
416,9000.0,2
417,10013.0,2
418,,2
419,8925.0,2
420,8530.0,2
421,9220.0,2
422,8408.0,2
423,8809.0,2
424,9347.0,2
425,8674.0,2
426,10221.0,2
427,9289.0,2
428,10505.0,2
429,10653.0,2
430,8430.0,2
431,9489.0,2
432,8629.0,2
433,9435.0,2
434,9397.0,2
435,9903.0,2
436,8968.0,2
437,8363.0,2
438,10514.0,2
439,9263.0,2
440,10863.0,2
441,10633.0,2
442,9214.0,2
443,9833.0,2
444,8525.0,2
445,10339.0,2
446,8709.0,2
447,8614.0,2
448,10277.0,2
449,9954.0,2
450,9091.0,2
451,9029.0,2
452,10064.0,2
453,9182.0,2
454,9925.0,2
455,9090.0,2
456,,2
457,8710.0,2
458,,2
459,10580.0,2
460,,2
461,9209.0,2
462,8420.0,2
463,9648.0,2
464,10055.0,2
465,10165.0,2
466,9151.0,2
467,8684.0,2
468,9051.0,2
469,9890.0,2
470,10445.0,2
471,8564.0,2
472,9583.0,2
473,9244.0,2
474,9690.0,2
475,8699.0,2
476,10481.0,2
477,9092.0,2
478,9883.0,2
479,10583.0,2
480,8401.0,2
481,10444.0,2
482,8942.0,2
483,8728.0,2
484,10239.0,2
485,8757.0,2
486,8834.0,2
487,8868.0,2
488,9001.0,2
489,9764.0,2
490,8855.0,2
491,9713.0,2
492,8658.0,2
493,10238.0,2
494,9965.0,2
495,9810.0,2
496,9168.0,2
497,9521.0,2
498,8731.0,2
499,9632.0,2
500,9368.0,2
501,8778.0,2
502,10941.0,2
503,8817.0,2
504,9936.0,2
505,9197.0,2
506,9618.0,2
507,8483.0,2
508,10499.0,2
509,8482.0,2
510,8903.0,2
511,8655.0,2
512,9012.0,2
513,9011.0,2
514,8912.0,2
515,8654.0,2
516,10903.0,2
517,11035.0,2
518,9899.0,2
519,10652.0,2
520,8875.0,2
521,8937.0,2
522,10981.0,2
523,9439.0,2
524,9403.0,2
525,8426.0,2
526,9946.0,2
527,8949.0,2
528,8406.0,2
529,10829.0,2
530,9823.0,2
531,9007.0,2
532,9636.0,2
533,,2
534,9249.0,2
535,,2
536,,2
537,10933.0,2
538,9600.0,2
539,9539.0,2
540,10224.0,2
541,10568.0,2
542,10335.0,2
543,10882.0,2
544,10500.0,2
545,9629.0,2
546,10880.0,2
547,9538.0,2
548,9703.0,2
549,8933.0,2
550,8891.0,2
551,8564.0,3
552,10259.0,3
553,9355.0,3
554,10214.0,3
555,9503.0,3
556,8362.0,3
